#runID	nEvts	server
009057	176876	e906-db3.fnal.gov
009058	179539	e906-db3.fnal.gov
009059	27372	e906-db3.fnal.gov
009060	162270	e906-db3.fnal.gov
009061	162474	e906-db3.fnal.gov
009062	158215	e906-db3.fnal.gov
009063	156414	e906-db3.fnal.gov
009064	156482	e906-db3.fnal.gov
009065	156743	e906-db3.fnal.gov
009066	159158	e906-db3.fnal.gov
009067	112100	e906-db3.fnal.gov
009068	40581	e906-db3.fnal.gov
009069	154751	e906-db3.fnal.gov
009071	162700	e906-db3.fnal.gov
009072	167273	e906-db3.fnal.gov
009073	203159	e906-db3.fnal.gov
009074	160748	e906-db3.fnal.gov
009075	59833	e906-db3.fnal.gov
009076	157125	e906-db3.fnal.gov
009077	185687	e906-db3.fnal.gov
009078	172576	e906-db3.fnal.gov
009079	167784	e906-db3.fnal.gov
009080	183068	e906-db3.fnal.gov
009081	167592	e906-db3.fnal.gov
009082	169732	e906-db3.fnal.gov
009083	157826	e906-db3.fnal.gov
009084	165305	e906-db3.fnal.gov
009085	172802	e906-db3.fnal.gov
009086	168419	e906-db3.fnal.gov
009087	162264	e906-db3.fnal.gov
009088	162453	e906-db3.fnal.gov
009089	159542	e906-db3.fnal.gov
009090	161109	e906-db3.fnal.gov
009091	40317	e906-db3.fnal.gov
009092	164984	e906-db3.fnal.gov
009093	143843	e906-db3.fnal.gov
009094	172880	e906-db3.fnal.gov
009095	166243	e906-db3.fnal.gov
009096	162130	e906-db3.fnal.gov
009097	194691	e906-db3.fnal.gov
009098	160041	e906-db3.fnal.gov
009099	156370	e906-db3.fnal.gov
009100	153777	e906-db3.fnal.gov
009101	7932	e906-db3.fnal.gov
009102	158830	e906-db3.fnal.gov
009103	91102	e906-db3.fnal.gov
009104	3727	e906-db3.fnal.gov
009105	161044	e906-db3.fnal.gov
009106	164956	e906-db3.fnal.gov
009107	150311	e906-db3.fnal.gov
009108	154384	e906-db3.fnal.gov
009109	155747	e906-db3.fnal.gov
009110	170998	e906-db3.fnal.gov
009111	158621	e906-db3.fnal.gov
009112	158912	e906-db3.fnal.gov
009113	168832	e906-db3.fnal.gov
009114	138739	e906-db3.fnal.gov
009115	158050	e906-db3.fnal.gov
009116	157800	e906-db3.fnal.gov
009117	161606	e906-db3.fnal.gov
009118	162240	e906-db3.fnal.gov
009119	165850	e906-db3.fnal.gov
009120	157863	e906-db3.fnal.gov
009123	162882	e906-db3.fnal.gov
009124	159775	e906-db3.fnal.gov
009125	153208	e906-db3.fnal.gov
009126	533533	e906-db3.fnal.gov
009128	158100	e906-db3.fnal.gov
009129	8306	e906-db3.fnal.gov
009132	7256	e906-db3.fnal.gov
009133	163230	e906-db3.fnal.gov
009134	164282	e906-db3.fnal.gov
009136	168323	e906-db3.fnal.gov
009137	163616	e906-db3.fnal.gov
009138	161504	e906-db3.fnal.gov
009139	156332	e906-db3.fnal.gov
009140	154714	e906-db3.fnal.gov
009141	157438	e906-db3.fnal.gov
009142	156888	e906-db3.fnal.gov
009143	126076	e906-db3.fnal.gov
009144	155707	e906-db3.fnal.gov
009145	157303	e906-db3.fnal.gov
009146	167238	e906-db3.fnal.gov
009147	158536	e906-db3.fnal.gov
009148	161298	e906-db3.fnal.gov
009149	67016	e906-db3.fnal.gov
009150	157892	e906-db3.fnal.gov
009151	165028	e906-db3.fnal.gov
009152	155092	e906-db3.fnal.gov
009153	159020	e906-db3.fnal.gov
009154	153441	e906-db3.fnal.gov
009155	163322	e906-db3.fnal.gov
009156	159692	e906-db3.fnal.gov
009157	164473	e906-db3.fnal.gov
009158	99193	e906-db3.fnal.gov
009159	158017	e906-db3.fnal.gov
009162	333501	e906-db3.fnal.gov
009163	179247	e906-db3.fnal.gov
009164	103997	e906-db3.fnal.gov
009165	155974	e906-db3.fnal.gov
009166	158183	e906-db3.fnal.gov
009167	156120	e906-db3.fnal.gov
009168	46816	e906-db3.fnal.gov
009169	159680	e906-db3.fnal.gov
009170	71488	e906-db3.fnal.gov
009171	170438	e906-db3.fnal.gov
009172	158936	e906-db3.fnal.gov
009173	153423	e906-db3.fnal.gov
009174	159473	e906-db3.fnal.gov
009175	149551	e906-db3.fnal.gov
009176	150073	e906-db3.fnal.gov
009177	153635	e906-db3.fnal.gov
009178	161809	e906-db3.fnal.gov
009179	155446	e906-db3.fnal.gov
009180	158289	e906-db3.fnal.gov
009181	156061	e906-db3.fnal.gov
009182	15080	e906-db3.fnal.gov
009183	181021	e906-db3.fnal.gov
009184	166742	e906-db3.fnal.gov
009185	157616	e906-db3.fnal.gov
009186	160547	e906-db3.fnal.gov
009187	155200	e906-db3.fnal.gov
009189	141712	e906-db3.fnal.gov
009190	166614	e906-db3.fnal.gov
009192	158253	e906-db3.fnal.gov
009193	160820	e906-db3.fnal.gov
009194	164534	e906-db3.fnal.gov
009195	152442	e906-db3.fnal.gov
009196	154392	e906-db3.fnal.gov
009197	154932	e906-db3.fnal.gov
009198	153550	e906-db3.fnal.gov
009199	157334	e906-db3.fnal.gov
009201	168780	e906-db3.fnal.gov
009202	158721	e906-db3.fnal.gov
009203	165206	e906-db3.fnal.gov
009204	5827	e906-db3.fnal.gov
009205	157535	e906-db3.fnal.gov
009206	161876	e906-db3.fnal.gov
009207	157529	e906-db3.fnal.gov
009208	156333	e906-db3.fnal.gov
009209	159533	e906-db3.fnal.gov
009210	161059	e906-db3.fnal.gov
009211	157590	e906-db3.fnal.gov
009212	172563	e906-db3.fnal.gov
009213	160140	e906-db3.fnal.gov
009214	158171	e906-db3.fnal.gov
009215	158320	e906-db3.fnal.gov
009216	158896	e906-db3.fnal.gov
009217	174270	e906-db3.fnal.gov
009218	134543	e906-db3.fnal.gov
009219	168239	e906-db3.fnal.gov
009220	156182	e906-db3.fnal.gov
009221	159178	e906-db3.fnal.gov
009222	165461	e906-db3.fnal.gov
009223	159878	e906-db3.fnal.gov
009224	159508	e906-db3.fnal.gov
009226	95921	e906-db3.fnal.gov
009227	158513	e906-db3.fnal.gov
009228	162223	e906-db3.fnal.gov
009229	162019	e906-db3.fnal.gov
009230	36709	e906-db3.fnal.gov
009237	489186	e906-db3.fnal.gov
009238	155886	e906-db3.fnal.gov
009239	154325	e906-db3.fnal.gov
009240	153796	e906-db3.fnal.gov
009241	152296	e906-db3.fnal.gov
009242	152020	e906-db3.fnal.gov
009243	161899	e906-db3.fnal.gov
009245	176221	e906-db3.fnal.gov
009246	154222	e906-db3.fnal.gov
009247	163219	e906-db3.fnal.gov
009248	157668	e906-db3.fnal.gov
009249	86400	e906-db3.fnal.gov
009250	173032	e906-db3.fnal.gov
009251	159837	e906-db3.fnal.gov
009252	156271	e906-db3.fnal.gov
009253	44403	e906-db3.fnal.gov
009276	144980	e906-db3.fnal.gov
009277	75908	e906-db3.fnal.gov
009278	39440	e906-db3.fnal.gov
009279	182906	e906-db3.fnal.gov
009280	179402	e906-db3.fnal.gov
009281	155238	e906-db3.fnal.gov
009282	187773	e906-db3.fnal.gov
009283	126858	e906-db3.fnal.gov
009284	38787	e906-db3.fnal.gov
009285	86735	e906-db3.fnal.gov
009286	20643	e906-db3.fnal.gov
009287	45551	e906-db3.fnal.gov
009288	166290	e906-db3.fnal.gov
009289	151745	e906-db3.fnal.gov
009290	161681	e906-db3.fnal.gov
009291	172355	e906-db3.fnal.gov
009292	89186	e906-db3.fnal.gov
009293	159827	e906-db3.fnal.gov
009294	45979	e906-db3.fnal.gov
009295	160082	e906-db3.fnal.gov
009297	163222	e906-db3.fnal.gov
009298	160453	e906-db3.fnal.gov
009299	162009	e906-db3.fnal.gov
009300	161194	e906-db3.fnal.gov
009301	79908	e906-db3.fnal.gov
009302	160115	e906-db3.fnal.gov
009303	166914	e906-db3.fnal.gov
009304	171750	e906-db3.fnal.gov
009305	221227	e906-db3.fnal.gov
009306	195377	e906-db3.fnal.gov
009307	170519	e906-db3.fnal.gov
009308	125209	e906-db3.fnal.gov
009309	162517	e906-db3.fnal.gov
009311	154588	e906-db3.fnal.gov
009312	108313	e906-db3.fnal.gov
009313	153465	e906-db3.fnal.gov
009314	165369	e906-db3.fnal.gov
009315	154439	e906-db3.fnal.gov
009316	88143	e906-db3.fnal.gov
009317	158575	e906-db3.fnal.gov
009318	161492	e906-db3.fnal.gov
009319	161301	e906-db3.fnal.gov
009320	161221	e906-db3.fnal.gov
009321	163802	e906-db3.fnal.gov
009322	200982	e906-db3.fnal.gov
009323	173370	e906-db3.fnal.gov
009324	169091	e906-db3.fnal.gov
009325	162266	e906-db3.fnal.gov
009326	210083	e906-db3.fnal.gov
009327	179814	e906-db3.fnal.gov
009328	159696	e906-db3.fnal.gov
009329	171568	e906-db3.fnal.gov
009330	158889	e906-db3.fnal.gov
009331	174247	e906-db3.fnal.gov
009332	171961	e906-db3.fnal.gov
009333	159441	e906-db3.fnal.gov
009334	162015	e906-db3.fnal.gov
009335	160642	e906-db3.fnal.gov
009336	134637	e906-db3.fnal.gov
009337	138995	e906-db3.fnal.gov
009338	158720	e906-db3.fnal.gov
009339	182664	e906-db3.fnal.gov
009340	170219	e906-db3.fnal.gov
009341	149769	e906-db3.fnal.gov
009342	171356	e906-db3.fnal.gov
009343	167540	e906-db3.fnal.gov
009344	172607	e906-db3.fnal.gov
009345	170034	e906-db3.fnal.gov
009346	173496	e906-db3.fnal.gov
009347	168538	e906-db3.fnal.gov
009348	173974	e906-db3.fnal.gov
009349	168098	e906-db3.fnal.gov
009350	168916	e906-db3.fnal.gov
009351	185336	e906-db3.fnal.gov
009353	55587	e906-db3.fnal.gov
009354	200087	e906-db3.fnal.gov
009355	169851	e906-db3.fnal.gov
009356	164268	e906-db3.fnal.gov
009357	93926	e906-db3.fnal.gov
009358	9777	e906-db3.fnal.gov
009359	170832	e906-db3.fnal.gov
009360	166031	e906-db3.fnal.gov
009361	5742	e906-db3.fnal.gov
009362	179572	e906-db3.fnal.gov
009363	173778	e906-db3.fnal.gov
009364	165626	e906-db3.fnal.gov
009365	169609	e906-db3.fnal.gov
009366	220856	e906-db3.fnal.gov
009367	138749	e906-db3.fnal.gov
009368	162029	e906-db3.fnal.gov
009369	161660	e906-db3.fnal.gov
009370	167196	e906-db3.fnal.gov
009371	158113	e906-db3.fnal.gov
009372	167341	e906-db3.fnal.gov
009373	166779	e906-db3.fnal.gov
009374	161728	e906-db3.fnal.gov
009375	110542	e906-db3.fnal.gov
009376	158384	e906-db3.fnal.gov
009377	160542	e906-db3.fnal.gov
009378	155475	e906-db3.fnal.gov
009379	165523	e906-db3.fnal.gov
009380	158075	e906-db3.fnal.gov
009381	73318	e906-db3.fnal.gov
009382	2306	e906-db3.fnal.gov
009388	2450	e906-db3.fnal.gov
009392	4561	e906-db3.fnal.gov
009394	167143	e906-db3.fnal.gov
009396	187539	e906-db3.fnal.gov
009397	88471	e906-db3.fnal.gov
009398	148786	e906-db3.fnal.gov
009399	157266	e906-db3.fnal.gov
009400	116975	e906-db3.fnal.gov
009437	223018	e906-db3.fnal.gov
009438	197402	e906-db3.fnal.gov
009439	234152	e906-db3.fnal.gov
009440	292521	e906-db3.fnal.gov
009441	26650	e906-db3.fnal.gov
009442	283314	e906-db3.fnal.gov
009443	153560	e906-db3.fnal.gov
009444	155096	e906-db3.fnal.gov
009446	183839	e906-db3.fnal.gov
009447	163302	e906-db3.fnal.gov
009449	153440	e906-db3.fnal.gov
009450	39478	e906-db3.fnal.gov
009451	155708	e906-db3.fnal.gov
009452	149832	e906-db3.fnal.gov
009453	66405	e906-db3.fnal.gov
009454	160704	e906-db3.fnal.gov
009455	157389	e906-db3.fnal.gov
009456	151870	e906-db3.fnal.gov
009457	149974	e906-db3.fnal.gov
009459	170192	e906-db3.fnal.gov
009460	84234	e906-db3.fnal.gov
009461	153278	e906-db3.fnal.gov
009462	114426	e906-db3.fnal.gov
009463	163321	e906-db3.fnal.gov
009464	156858	e906-db3.fnal.gov
009465	146709	e906-db3.fnal.gov
009466	164183	e906-db3.fnal.gov
009467	156423	e906-db3.fnal.gov
009468	150701	e906-db3.fnal.gov
009469	170322	e906-db3.fnal.gov
009470	160956	e906-db3.fnal.gov
009471	158163	e906-db3.fnal.gov
009472	155499	e906-db3.fnal.gov
009473	156330	e906-db3.fnal.gov
009474	99614	e906-db3.fnal.gov
009475	158021	e906-db3.fnal.gov
009476	35248	e906-db3.fnal.gov
009477	154273	e906-db3.fnal.gov
009478	158769	e906-db3.fnal.gov
009479	6660	e906-db3.fnal.gov
009480	148585	e906-db3.fnal.gov
009481	157568	e906-db3.fnal.gov
009482	161766	e906-db3.fnal.gov
009483	110157	e906-db3.fnal.gov
009484	160418	e906-db3.fnal.gov
009485	157765	e906-db3.fnal.gov
009486	175342	e906-db3.fnal.gov
009487	155698	e906-db3.fnal.gov
009488	153038	e906-db3.fnal.gov
009489	156908	e906-db3.fnal.gov
009491	155792	e906-db3.fnal.gov
009492	7026	e906-db3.fnal.gov
009493	145034	e906-db3.fnal.gov
009494	152418	e906-db3.fnal.gov
009496	9555	e906-db3.fnal.gov
009498	153005	e906-db3.fnal.gov
009499	159911	e906-db3.fnal.gov
009500	153576	e906-db3.fnal.gov
009501	150390	e906-db3.fnal.gov
009502	154697	e906-db3.fnal.gov
009503	63043	e906-db3.fnal.gov
009504	153754	e906-db3.fnal.gov
009505	154630	e906-db3.fnal.gov
009506	14817	e906-db3.fnal.gov
009507	58335	e906-db3.fnal.gov
009508	148183	e906-db3.fnal.gov
009509	153784	e906-db3.fnal.gov
009510	148412	e906-db3.fnal.gov
009511	147130	e906-db3.fnal.gov
009512	151510	e906-db3.fnal.gov
009513	157609	e906-db3.fnal.gov
009514	147209	e906-db3.fnal.gov
009515	150813	e906-db3.fnal.gov
009516	149910	e906-db3.fnal.gov
009517	53384	e906-db3.fnal.gov
009518	28092	e906-db3.fnal.gov
009519	15386	e906-db3.fnal.gov
009522	151464	e906-db3.fnal.gov
009523	157861	e906-db3.fnal.gov
009525	157017	e906-db3.fnal.gov
009526	56761	e906-db3.fnal.gov
009527	164208	e906-db3.fnal.gov
009528	155615	e906-db3.fnal.gov
009529	153773	e906-db3.fnal.gov
009530	160471	e906-db3.fnal.gov
009531	144146	e906-db3.fnal.gov
009542	148842	e906-db3.fnal.gov
009543	150456	e906-db3.fnal.gov
009544	156685	e906-db3.fnal.gov
009545	146071	e906-db3.fnal.gov
009546	147868	e906-db3.fnal.gov
009547	162638	e906-db3.fnal.gov
009548	94744	e906-db3.fnal.gov
009550	158497	e906-db3.fnal.gov
009551	151038	e906-db3.fnal.gov
009552	161374	e906-db3.fnal.gov
009553	161217	e906-db3.fnal.gov
009557	159230	e906-db3.fnal.gov
009558	157313	e906-db3.fnal.gov
009559	25383	e906-db3.fnal.gov
009560	240254	e906-db3.fnal.gov
009561	249921	e906-db3.fnal.gov
009562	158424	e906-db3.fnal.gov
009563	158087	e906-db3.fnal.gov
009564	20388	e906-db3.fnal.gov
009565	95303	e906-db3.fnal.gov
009566	162112	e906-db3.fnal.gov
009567	160883	e906-db3.fnal.gov
009568	190858	e906-db3.fnal.gov
009569	151558	e906-db3.fnal.gov
009570	177002	e906-db3.fnal.gov
009571	180815	e906-db3.fnal.gov
009572	164012	e906-db3.fnal.gov
009573	161471	e906-db3.fnal.gov
009575	163046	e906-db3.fnal.gov
009576	154427	e906-db3.fnal.gov
009577	157676	e906-db3.fnal.gov
009578	159676	e906-db3.fnal.gov
009579	159748	e906-db3.fnal.gov
009580	10444	e906-db3.fnal.gov
009581	158173	e906-db3.fnal.gov
009582	153150	e906-db3.fnal.gov
009583	150321	e906-db3.fnal.gov
009584	36925	e906-db3.fnal.gov
009585	154829	e906-db3.fnal.gov
009586	143720	e906-db3.fnal.gov
009588	156638	e906-db3.fnal.gov
009589	6116	e906-db3.fnal.gov
009590	67368	e906-db3.fnal.gov
009591	161104	e906-db3.fnal.gov
009592	144864	e906-db3.fnal.gov
009593	42274	e906-db3.fnal.gov
009594	162016	e906-db3.fnal.gov
009596	156753	e906-db3.fnal.gov
009597	166040	e906-db3.fnal.gov
009598	158903	e906-db3.fnal.gov
009599	158865	e906-db3.fnal.gov
009600	157179	e906-db3.fnal.gov
009601	157371	e906-db3.fnal.gov
009602	155745	e906-db3.fnal.gov
009603	216250	e906-db3.fnal.gov
009604	----------	
009605	161497	e906-db3.fnal.gov
009606	187008	e906-db3.fnal.gov
009607	183089	e906-db3.fnal.gov
009608	163346	e906-db3.fnal.gov
009609	162722	e906-db3.fnal.gov
009610	208025	e906-db3.fnal.gov
009612	171965	e906-db3.fnal.gov
009613	159602	e906-db3.fnal.gov
009614	11705	e906-db3.fnal.gov
009615	165219	e906-db3.fnal.gov
009616	126670	e906-db3.fnal.gov
009617	184150	e906-db3.fnal.gov
009618	170102	e906-db3.fnal.gov
009619	188542	e906-db3.fnal.gov
009620	38599	e906-db3.fnal.gov
009621	167614	e906-db3.fnal.gov
009622	110625	e906-db3.fnal.gov
009623	43712	e906-db3.fnal.gov
009624	107082	e906-db3.fnal.gov
009625	151903	e906-db3.fnal.gov
009626	162442	e906-db3.fnal.gov
009627	154161	e906-db3.fnal.gov
009628	155626	e906-db3.fnal.gov
009629	156865	e906-db3.fnal.gov
009630	157011	e906-db3.fnal.gov
009631	11254	e906-db3.fnal.gov
009633	155703	e906-db3.fnal.gov
009634	153968	e906-db3.fnal.gov
009635	154164	e906-db3.fnal.gov
009636	161687	e906-db3.fnal.gov
009637	166324	e906-db3.fnal.gov
009638	157317	e906-db3.fnal.gov
009639	154539	e906-db3.fnal.gov
009640	152000	e906-db3.fnal.gov
009641	172044	e906-db3.fnal.gov
009642	25485	e906-db3.fnal.gov
009665	21442	e906-db3.fnal.gov
009666	31600	e906-db3.fnal.gov
009667	29405	e906-db3.fnal.gov
009668	127054	e906-db3.fnal.gov
009669	164619	e906-db3.fnal.gov
009670	159633	e906-db3.fnal.gov
009671	156091	e906-db3.fnal.gov
009672	151514	e906-db3.fnal.gov
